fighter1,fighter2,event,fight_outcome,origin_fight_url,fighter1_Weight,fighter1_Reach,fighter1_Stance,fighter1_SLpM,fighter1_StrAcc,fighter1_SApM,fighter1_StrDef,fighter1_TDAvg,fighter1_TDAcc,fighter1_TDDef,fighter1_SubAvg,fighter2_Weight,fighter2_Reach,fighter2_Stance,fighter2_SLpM,fighter2_StrAcc,fighter2_SApM,fighter2_StrDef,fighter2_TDAvg,fighter2_TDAcc,fighter2_TDDef,fighter2_SubAvg,fighter1_Wins,fighter1_Losses,fighter1_Draws,fighter2_Wins,fighter2_Losses,fighter2_Draws,fighter1_Height_in,fighter2_Height_in,fighter1_Age,fighter2_Age
Rory MacDonald,Che Mills,UFC 145: Jones vs Evans,fighter1,http://ufcstats.com/fight-details/4966e9d7479c8d8d,170.0,76,Orthodox,3.75,42,2.8,62,1.77,47,88,0.4,170.0,76,Orthodox,2.08,52,2.87,43,1.18,66,58,0.0,19,4,0,16,10,0,72.0,73.0,35.0,42.0
John Makdessi,Anthony Njokuani,UFC 145: Jones vs Evans,fighter2,http://ufcstats.com/fight-details/2bb3a036759d79f2,155.0,68,Orthodox,5.52,49,4.15,68,0.0,0,86,0.0,155.0,75,Orthodox,3.94,46,2.41,65,0.5,45,53,0.2,18,9,0,16,12,0,68.0,73.0,39.0,45.0
Mark Bocek,John Alessio,UFC 145: Jones vs Evans,fighter1,http://ufcstats.com/fight-details/c1c8b38d315d487b,155.0,75,Orthodox,2.34,43,2.32,60,3.65,36,31,1.3,155.0,72,Orthodox,2.1,39,2.91,54,1.85,38,70,1.2,12,5,0,35,17,0,68.0,70.0,43.0,45.0
Jeff Curran,Johnny Eduardo,UFC on FUEL TV: Korean Zombie vs Poirier,fighter2,http://ufcstats.com/fight-details/fc95c49b69a8d476,135.0,69,Orthodox,1.54,31,2.48,60,0.35,12,35,1.2,135.0,71,Orthodox,2.95,39,3.22,63,0.22,20,58,0.4,36,18,1,28,13,0,66.0,67.0,47.0,46.0
Jon Jones,Rashad Evans,UFC 145: Jones vs Evans,fighter1,http://ufcstats.com/fight-details/9dc5b5f29d9ff028,248.0,84,Orthodox,4.38,58,2.24,64,1.89,45,95,0.5,205.0,75,Orthodox,2.14,37,2.42,63,2.98,44,73,0.0,28,1,0,19,8,1,76.0,72.0,37.0,45.0
Brad Tavares,Dongi Yang,UFC on FUEL TV: Korean Zombie vs Poirier,fighter1,http://ufcstats.com/fight-details/3b1461ff02a3f98e,185.0,74,Orthodox,3.43,43,3.31,55,0.74,26,80,0.0,185.0,73,Southpaw,3.55,51,3.21,63,1.7,41,61,0.5,20,11,0,13,3,0,73.0,70.0,37.0,40.0
Rafael Dos Anjos,Kamal Shalorus,UFC on FUEL TV: Korean Zombie vs Poirier,fighter1,http://ufcstats.com/fight-details/ade59be2e9bc1108,170.0,70,Southpaw,3.48,47,3.23,60,1.95,35,54,0.6,155.0,68,Orthodox,3.06,32,2.99,70,2.07,50,80,0.0,32,17,0,9,5,2,68.0,68.0,40.0,52.0
TJ Grant,Carlo Prater,UFC on FUEL TV: Korean Zombie vs Poirier,fighter1,http://ufcstats.com/fight-details/4655930eb83446c7,155.0,72,Orthodox,3.95,54,3.21,56,1.63,43,36,0.6,155.0,72,Switch,2.03,47,4.07,35,0.43,9,57,1.7,21,5,0,31,18,1,70.0,71.0,41.0,43.0
Igor Pokrajac,Fabio Maldonado,UFC on FUEL TV: Korean Zombie vs Poirier,fighter1,http://ufcstats.com/fight-details/303db84673492cd6,205.0,74,Orthodox,2.25,45,4.26,40,0.87,29,51,0.2,205.0,75,Orthodox,5.29,58,4.31,53,0.44,57,61,0.6,28,13,0,23,11,0,72.0,73.0,46.0,45.0
Yves Jabouin,Jeff Hougland,UFC on FUEL TV: Korean Zombie vs Poirier,fighter1,http://ufcstats.com/fight-details/e0e41464c1bc7ee1,135.0,68,Orthodox,3.06,41,2.93,62,1.94,60,82,0.1,135.0,68,Orthodox,1.86,48,3.46,47,0.86,18,0,1.1,20,11,0,10,6,0,67.0,67.0,45.0,46.0
Cody McKenzie,Marcus LeVesseur,UFC on FUEL TV: Korean Zombie vs Poirier,fighter1,http://ufcstats.com/fight-details/df5ab14481442365,155.0,72,Switch,1.74,34,2.5,67,2.5,25,14,2.5,155.0,70,Southpaw,2.55,64,3.7,37,3.89,36,83,0.6,16,10,0,22,7,0,72.0,69.0,37.0,42.0
Donald Cerrone,Jeremy Stephens,UFC on FUEL TV: Korean Zombie vs Poirier,fighter1,http://ufcstats.com/fight-details/49818fb1520ce956,155.0,73,Orthodox,4.41,46,4.48,53,1.16,33,73,1.2,145.0,71,Orthodox,3.17,40,3.05,58,1.16,38,65,0.4,36,17,0,28,19,0,73.0,69.0,41.0,38.0
Chan Sung Jung,Dustin Poirier,UFC on FUEL TV: Korean Zombie vs Poirier,fighter1,http://ufcstats.com/fight-details/a8ec9c513d28c25c,145.0,72,Orthodox,3.93,41,4.52,52,0.7,44,72,0.6,155.0,72,Southpaw,5.3,50,4.33,52,1.24,36,64,1.3,17,8,0,30,9,0,67.0,69.0,38.0,36.0
Jason MacDonald,Tom Lawlor,UFC on FUEL TV: Korean Zombie vs Poirier,fighter2,http://ufcstats.com/fight-details/57bbe424b0d6837c,185.0,80,Orthodox,1.55,52,2.7,46,1.43,16,35,2.0,205.0,74,Southpaw,2.5,42,2.41,60,2.46,32,57,1.4,25,16,0,10,6,0,75.0,72.0,49.0,41.0
Brad Pickett,Damacio Page,UFC on FUEL TV: Gustafsson vs Silva,fighter1,http://ufcstats.com/fight-details/806761834799c352,135.0,68,Orthodox,3.02,31,4.63,55,2.47,44,58,0.4,135.0,66,Orthodox,2.05,38,2.47,51,2.63,64,23,0.9,25,14,0,19,10,0,66.0,66.0,46.0,42.0
DaMarques Johnson,John Maguire,UFC on FUEL TV: Gustafsson vs Silva,fighter2,http://ufcstats.com/fight-details/3368c2419e259992,170.0,75,Orthodox,2.11,37,3.75,51,1.18,55,19,0.7,155.0,69,Southpaw,1.41,41,2.44,65,2.8,46,77,1.1,15,15,0,24,9,0,73.0,69.0,42.0,41.0
Brian Stann,Alessio Sakara,UFC on FUEL TV: Gustafsson vs Silva,fighter1,http://ufcstats.com/fight-details/990bf4ef60890853,205.0,74,Orthodox,3.28,42,2.65,59,0.12,12,60,0.3,185.0,72,Orthodox,3.96,47,2.8,59,2.18,78,62,0.0,12,6,0,19,11,0,73.0,72.0,44.0,43.0
Alexander Gustafsson,Thiago Silva,UFC on FUEL TV: Gustafsson vs Silva,fighter1,http://ufcstats.com/fight-details/93096cfccdbf4fe8,205.0,79,Orthodox,4.03,40,3.53,51,1.53,39,83,0.4,205.0,74,Orthodox,3.92,50,2.55,67,1.03,47,70,0.7,18,8,0,19,6,0,77.0,74.0,38.0,42.0
Paulo Thiago,Siyar Bahadurzada,UFC on FUEL TV: Gustafsson vs Silva,fighter2,http://ufcstats.com/fight-details/8757fbfa0857415f,170.0,74,Orthodox,1.71,39,1.99,63,1.42,31,63,1.2,170.0,73,Orthodox,2.91,40,3.23,49,1.32,61,62,0.3,18,9,0,24,8,1,71.0,71.0,44.0,40.0
Mackens Semerzier,Daniel Pineda,UFC on FX: Alves vs Kampmann,fighter2,http://ufcstats.com/fight-details/60f53ad3f114da6e,145.0,72,Orthodox,2.91,45,3.48,46,2.14,50,50,2.1,145.0,69,Orthodox,2.85,49,3.26,45,1.42,24,54,1.5,8,4,0,28,17,0,69.0,67.0,44.0,39.0
TJ Waldburger,Jake Hecht,UFC on FX: Alves vs Kampmann,fighter1,http://ufcstats.com/fight-details/3a2bd4fe6f08bc17,170.0,75,Orthodox,2.02,51,2.39,40,3.03,46,40,4.8,170.0,73,Orthodox,3.26,47,2.76,56,2.04,37,40,0.0,16,9,0,11,4,0,71.0,72.0,36.0,41.0
James Te Huna,Aaron Rosa,UFC on FX: Alves vs Kampmann,fighter1,http://ufcstats.com/fight-details/33f0817701e49bf1,185.0,75,Orthodox,4.04,51,2.99,62,2.75,37,58,0.2,205.0,77,Orthodox,4.03,47,4.41,45,0.36,33,85,0.4,16,9,0,18,6,0,74.0,76.0,43.0,41.0
Dennis Siver,Diego Nunes,UFC on FUEL TV: Gustafsson vs Silva,fighter1,http://ufcstats.com/fight-details/2dc181c1473eb269,145.0,70,Orthodox,3.87,32,2.67,65,0.87,32,65,0.3,145.0,67,Orthodox,2.72,43,2.59,58,1.18,44,65,0.6,23,11,0,19,7,0,66.0,66.0,46.0,42.0
Cole Miller,Steven Siler,UFC on FX: Alves vs Kampmann,fighter2,http://ufcstats.com/fight-details/54b7b3378e394070,145.0,73,Orthodox,3.0,33,3.88,59,0.6,36,38,1.8,145.0,70,Orthodox,3.21,41,2.96,54,0.47,21,55,1.6,21,11,0,29,16,0,73.0,71.0,40.0,38.0
Kyle Noke,Andrew Craig,UFC on FX: Alves vs Kampmann,fighter2,http://ufcstats.com/fight-details/a00b98f41c05ae6c,170.0,76,Southpaw,3.23,50,2.09,64,1.53,54,66,0.8,170.0,76,Orthodox,2.39,40,3.01,50,0.53,37,72,0.0,22,10,1,9,4,0,73.0,73.0,45.0,39.0
Court McGee,Constantinos Philippou,UFC on FX: Alves vs Kampmann,fighter2,http://ufcstats.com/fight-details/01e5e4099f03f20e,170.0,75,Orthodox,4.6,37,3.59,61,1.87,25,69,0.5,185.0,73,Orthodox,2.19,35,2.73,54,0.4,42,65,0.3,23,13,0,13,5,0,71.0,71.0,40.0,45.0
Oli Thompson,Shawn Jordan,UFC on FX: Alves vs Kampmann,fighter2,http://ufcstats.com/fight-details/6ba485fc7b8f38ee,242.0,75,Orthodox,1.66,46,5.31,46,0.0,0,50,0.5,260.0,75,Southpaw,2.87,50,3.3,47,1.97,38,76,0.1,17,10,0,19,8,0,73.0,72.0,45.0,40.0
Thiago Alves,Martin Kampmann,UFC on FX: Alves vs Kampmann,fighter2,http://ufcstats.com/fight-details/b42d4c3c701945bf,170.0,70,Orthodox,3.73,41,3.42,62,0.71,60,63,0.3,170.0,72,Orthodox,3.22,42,3.28,62,1.86,41,78,2.0,23,15,0,20,7,0,69.0,72.0,41.0,42.0
Mike Massenzio,Karlos Vemola,UFC on FOX: Diaz vs Miller,fighter2,http://ufcstats.com/fight-details/a28c80463d7d0c03,185.0,73,Southpaw,2.08,45,3.59,54,2.74,24,50,1.4,185.0,75,Orthodox,1.67,44,2.13,37,1.93,25,31,1.7,13,9,0,17,5,0,74.0,72.0,42.0,39.0
Dennis Bermudez,Pablo Garza,UFC on FOX: Diaz vs Miller,fighter1,http://ufcstats.com/fight-details/0387bc11a0a0c325,155.0,66,Orthodox,4.42,46,3.07,59,3.89,40,82,1.1,145.0,73,Orthodox,3.37,44,2.7,50,0.94,25,15,1.3,17,9,0,12,4,0,66.0,73.0,38.0,41.0
Danny Castillo,John Cholish,UFC on FOX: Diaz vs Miller,fighter1,http://ufcstats.com/fight-details/c039953c2f438832,155.0,71,Orthodox,2.57,42,1.96,62,2.95,38,63,0.2,155.0,74,Orthodox,2.65,49,2.29,73,1.82,31,78,0.4,17,10,0,8,3,0,69.0,71.0,45.0,41.0
Tony Ferguson,Michael Johnson,UFC on FOX: Diaz vs Miller,fighter2,http://ufcstats.com/fight-details/1f290005cc147afb,170.0,76,Orthodox,4.91,45,4.37,55,0.39,35,66,0.9,155.0,73,Southpaw,4.23,39,3.8,58,0.61,40,81,0.0,26,11,0,24,19,0,71.0,70.0,41.0,38.0
Pat Barry,Lavar Johnson,UFC on FOX: Diaz vs Miller,fighter2,http://ufcstats.com/fight-details/c7be6a466d1d0a1e,235.0,74,Orthodox,2.72,52,3.54,59,0.0,0,76,0.2,240.0,82,Orthodox,5.39,55,2.54,55,0.61,66,54,0.6,8,7,0,18,10,0,71.0,76.0,45.0,47.0
Louis Gaudinot,John Lineker,UFC on FOX: Diaz vs Miller,fighter1,http://ufcstats.com/fight-details/539e0008bb634f1b,125.0,63,Orthodox,2.34,37,6.42,48,0.57,40,31,1.1,135.0,67,Orthodox,5.36,40,4.27,56,0.56,58,67,0.6,8,4,0,31,9,0,63.0,63.0,40.0,34.0
John Dodson,Tim Elliott,UFC on FOX: Diaz vs Miller,fighter1,http://ufcstats.com/fight-details/e257f0f5224ef6ab,135.0,66,Orthodox,3.2,40,3.58,61,0.71,28,82,0.0,125.0,66,Southpaw,3.39,44,2.66,56,3.73,47,59,1.0,22,12,0,21,13,1,63.0,67.0,40.0,38.0
Josh Koscheck,Johny Hendricks,UFC on FOX: Diaz vs Miller,fighter2,http://ufcstats.com/fight-details/a5fa3bf3dc91eb88,170.0,73,Orthodox,1.79,36,2.27,63,2.46,48,64,0.4,185.0,69,Southpaw,3.49,45,3.99,53,3.83,46,63,0.3,17,11,0,18,8,0,70.0,69.0,47.0,41.0
Rousimar Palhares,Alan Belcher,UFC on FOX: Diaz vs Miller,fighter2,http://ufcstats.com/fight-details/704a089fde021153,170.0,71,Orthodox,1.75,51,2.04,59,3.93,45,0,4.1,185.0,75,Orthodox,2.7,41,3.1,59,0.44,26,55,0.9,19,8,0,18,8,0,68.0,74.0,45.0,40.0
Nate Diaz,Jim Miller,UFC on FOX: Diaz vs Miller,fighter1,http://ufcstats.com/fight-details/db51d17ea03da745,170.0,76,Southpaw,4.57,45,3.77,52,1.05,30,41,1.3,155.0,71,Southpaw,2.99,42,3.51,56,1.52,44,49,1.7,22,13,0,38,18,0,72.0,68.0,39.0,41.0
Matthew Riddle,Henry Martinez,UFC 143: Diaz vs Condit,fighter1,http://ufcstats.com/fight-details/6ecc59654c2f519f,170.0,76,Southpaw,3.01,42,2.74,54,3.51,50,89,0.5,155.0,69,Southpaw,2.79,25,4.01,60,0.0,0,80,0.0,8,3,0,9,4,0,73.0,67.0,39.0,41.0
Matt Brown,Chris Cope,UFC 143: Diaz vs Condit,fighter1,http://ufcstats.com/fight-details/bd340a13bc3df8a1,170.0,75,Orthodox,3.76,55,2.92,55,1.68,46,63,1.3,170.0,72,Orthodox,3.96,26,4.82,50,0.0,0,80,0.0,26,19,0,8,4,0,72.0,72.0,44.0,42.0
Alex Caceres,Edwin Figueroa,UFC 143: Diaz vs Condit,fighter2,http://ufcstats.com/fight-details/d019250cc6d93527,145.0,73,Southpaw,4.21,49,3.09,62,0.54,68,64,0.7,135.0,69,Orthodox,2.57,39,3.06,51,0.2,100,37,0.6,21,15,0,9,5,0,70.0,67.0,36.0,40.0
Rafael Natal,Michael Kuiper,UFC 143: Diaz vs Condit,fighter1,http://ufcstats.com/fight-details/5510b86a35c5614b,185.0,77,Orthodox,3.1,47,2.48,57,2.55,34,77,0.5,185.0,73,Orthodox,3.28,54,3.62,54,2.3,55,79,0.0,21,9,1,15,5,0,72.0,72.0,42.0,35.0
Renan Barao,Scott Jorgensen,UFC 143: Diaz vs Condit,fighter1,http://ufcstats.com/fight-details/6fbe7dffff5f5f1e,145.0,70,Orthodox,3.78,36,3.9,57,1.49,41,91,0.5,135.0,66,Orthodox,3.37,40,3.41,65,2.61,45,59,0.7,34,9,0,15,12,0,66.0,65.0,38.0,42.0
Dustin Poirier,Max Holloway,UFC 143: Diaz vs Condit,fighter1,http://ufcstats.com/fight-details/099a2db0470d456b,155.0,72,Southpaw,5.3,50,4.33,52,1.24,36,64,1.3,145.0,69,Orthodox,7.16,47,4.76,59,0.25,53,83,0.3,30,9,0,26,8,0,69.0,71.0,36.0,33.0
Ed Herman,Clifford Starks,UFC 143: Diaz vs Condit,fighter1,http://ufcstats.com/fight-details/7e57d7848f9faacf,205.0,77,Orthodox,3.31,48,3.71,42,1.96,47,59,1.0,185.0,78,Orthodox,1.94,33,2.49,58,1.94,100,60,0.0,27,16,0,13,3,0,73.0,72.0,44.0,43.0
Nick Diaz,Carlos Condit,UFC 143: Diaz vs Condit,fighter2,http://ufcstats.com/fight-details/09a2909e1848be52,170.0,76,Southpaw,5.71,42,3.84,59,1.28,32,60,1.0,170.0,75,Orthodox,3.66,39,2.67,55,0.59,46,38,1.0,26,10,0,32,14,0,73.0,74.0,41.0,40.0
Roy Nelson,Fabricio Werdum,UFC 143: Diaz vs Condit,fighter2,http://ufcstats.com/fight-details/6bde0b88f21304d4,263.0,73,Orthodox,2.18,36,4.79,46,1.14,27,65,0.1,231.0,77,Orthodox,3.59,52,2.64,55,1.75,31,31,1.2,22,14,0,24,9,1,72.0,76.0,48.0,47.0
Riki Fukuda,Steve Cantwell,UFC 144: Edgar vs Henderson,fighter1,http://ufcstats.com/fight-details/fb57dcc651894ae9,185.0,73,Southpaw,4.24,43,3.71,64,2.17,43,70,0.0,185.0,75,Orthodox,3.63,34,5.76,55,0.65,30,80,0.7,24,9,0,7,6,0,72.0,74.0,44.0,38.0
Josh Koscheck,Mike Pierce,UFC 143: Diaz vs Condit,fighter1,http://ufcstats.com/fight-details/cee1fb8ac703f34f,170.0,73,Orthodox,1.79,36,2.27,63,2.46,48,64,0.4,170.0,71,Orthodox,2.62,42,2.36,62,3.08,42,71,0.2,17,11,0,17,7,0,70.0,68.0,47.0,44.0
Norifumi Yamamoto,Vaughan Lee,UFC 144: Edgar vs Henderson,fighter2,http://ufcstats.com/fight-details/a196dce12754e34e,135.0,66,Southpaw,2.09,45,2.01,57,0.41,22,45,0.0,125.0,66,Orthodox,3.47,47,2.07,70,0.81,33,72,1.0,18,6,0,14,13,1,64.0,66.0,48.0,42.0
Anthony Pettis,Joe Lauzon,UFC 144: Edgar vs Henderson,fighter1,http://ufcstats.com/fight-details/9b4bff38430a01eb,155.0,72,Orthodox,3.05,47,3.44,54,0.61,50,60,1.1,155.0,71,Orthodox,2.84,39,5.39,54,2.39,45,54,2.0,24,10,0,28,16,0,70.0,70.0,38.0,40.0
Yushin Okami,Tim Boetsch,UFC 144: Edgar vs Henderson,fighter2,http://ufcstats.com/fight-details/eac1c31f1b3d11f3,170.0,75,Southpaw,2.06,38,2.25,60,1.98,39,84,0.5,185.0,74,Orthodox,2.93,50,2.9,57,1.45,34,59,0.8,34,12,0,21,13,0,74.0,72.0,43.0,44.0
Yoshihiro Akiyama,Jake Shields,UFC 144: Edgar vs Henderson,fighter2,http://ufcstats.com/fight-details/53d2a57daaae700b,170.0,75,Orthodox,3.1,41,3.62,57,2.29,67,92,1.0,170.0,72,Orthodox,2.45,36,1.8,56,2.83,29,35,1.2,14,6,0,31,9,1,70.0,72.0,49.0,46.0
Mark Hunt,Cheick Kongo,UFC 144: Edgar vs Henderson,fighter1,http://ufcstats.com/fight-details/319053a9de63ab85,265.0,72,Orthodox,2.81,43,2.9,51,0.51,55,64,0.2,240.0,82,Orthodox,3.33,56,1.28,54,2.3,56,52,0.2,13,14,1,27,10,2,70.0,76.0,51.0,49.0
Frankie Edgar,Benson Henderson,UFC 144: Edgar vs Henderson,fighter2,http://ufcstats.com/fight-details/43b494c32b7f18cb,135.0,68,Orthodox,3.77,40,2.82,65,2.29,31,65,0.3,170.0,70,Southpaw,2.93,45,1.79,63,2.4,45,63,0.8,23,11,1,24,7,0,66.0,69.0,43.0,41.0
Hatsu Hioki,Bart Palaszewski,UFC 144: Edgar vs Henderson,fighter1,http://ufcstats.com/fight-details/6bcf5381dd8de85b,145.0,73,Orthodox,2.42,42,2.12,65,2.55,56,54,0.6,145.0,70,Orthodox,2.67,32,3.97,57,0.65,31,53,0.5,29,10,2,36,17,0,71.0,69.0,41.0,41.0
Stipe Miocic,Philip De Fries,UFC on FUEL TV: Sanchez vs Ellenberger,fighter1,http://ufcstats.com/fight-details/796a7e1fa80af990,240.0,80,Orthodox,4.67,52,4.01,52,1.74,34,65,0.0,250.0,79,Orthodox,2.3,47,3.0,37,3.29,42,100,0.6,20,5,0,12,6,0,76.0,77.0,42.0,38.0
Ivan Menjivar,John Albert,UFC on FUEL TV: Sanchez vs Ellenberger,fighter1,http://ufcstats.com/fight-details/74e92a66b29674a9,145.0,64,Orthodox,2.78,37,2.76,65,0.56,28,38,1.0,135.0,68,Orthodox,3.05,49,2.82,35,0.0,0,50,6.1,25,12,0,6,5,0,66.0,68.0,42.0,38.0
Aaron Simpson,Ronny Markes,UFC on FUEL TV: Sanchez vs Ellenberger,fighter2,http://ufcstats.com/fight-details/f10d3d4ffd5a4922,170.0,73,Orthodox,3.6,52,2.53,56,3.78,34,83,0.5,185.0,75,Orthodox,2.17,53,2.43,45,3.13,40,100,0.5,12,5,0,17,5,0,72.0,73.0,50.0,36.0
Quinton Jackson,Ryan Bader,UFC 144: Edgar vs Henderson,fighter2,http://ufcstats.com/fight-details/7c307d98ed135d32,205.0,73,Orthodox,3.25,54,2.51,55,1.52,56,73,0.1,205.0,74,Orthodox,2.82,43,1.39,71,3.37,44,80,0.4,37,12,0,23,5,0,73.0,74.0,46.0,41.0
TJ Dillashaw,Walel Watson,UFC on FUEL TV: Sanchez vs Ellenberger,fighter1,http://ufcstats.com/fight-details/5f7a1ba6e016b249,135.0,67,Orthodox,5.09,41,3.47,62,1.56,30,77,0.8,135.0,75,Orthodox,2.1,29,3.79,43,0.0,0,61,1.4,18,5,0,14,10,0,66.0,71.0,39.0,40.0
Joey Beltran,Lavar Johnson,UFC on FOX: Evans vs Davis,fighter2,http://ufcstats.com/fight-details/fd230ba169b3f2b6,185.0,75,Orthodox,4.92,36,5.27,54,0.48,18,75,0.0,240.0,82,Orthodox,5.39,55,2.54,55,0.61,66,54,0.6,17,14,0,18,10,0,73.0,76.0,43.0,47.0
Stefan Struve,Dave Herman,UFC on FUEL TV: Sanchez vs Ellenberger,fighter1,http://ufcstats.com/fight-details/e93d07a18ca847c8,265.0,84,Orthodox,3.12,47,4.04,46,0.56,46,55,1.7,242.0,77,Orthodox,4.98,60,3.78,48,1.49,100,58,0.0,33,13,0,22,6,0,83.0,76.0,37.0,40.0
Diego Sanchez,Jake Ellenberger,UFC on FUEL TV: Sanchez vs Ellenberger,fighter2,http://ufcstats.com/fight-details/3e50773520e7a218,170.0,72,Southpaw,2.69,37,3.02,56,1.51,24,46,0.8,170.0,71,Orthodox,2.47,39,2.83,60,2.04,47,86,0.4,31,13,0,31,15,0,70.0,69.0,43.0,39.0
Michael Johnson,Shane Roller,UFC on FOX: Evans vs Davis,fighter1,http://ufcstats.com/fight-details/e8a167bb84082832,155.0,73,Southpaw,4.23,39,3.8,58,0.61,40,81,0.0,155.0,72,Orthodox,2.04,34,2.65,60,2.46,33,42,1.9,24,19,0,11,7,0,70.0,70.0,38.0,45.0
Chris Camozzi,Dustin Jacoby,UFC on FOX: Evans vs Davis,fighter1,http://ufcstats.com/fight-details/7a37fd92b26d15c8,185.0,75,Orthodox,3.57,44,2.96,56,0.27,19,57,0.5,205.0,76,Orthodox,5.33,47,4.05,57,0.33,25,62,0.0,24,13,0,20,9,1,74.0,75.0,38.0,36.0
Cub Swanson,George Roop,UFC on FOX: Evans vs Davis,fighter1,http://ufcstats.com/fight-details/ca263e46051261e2,145.0,70,Orthodox,4.79,51,4.0,59,1.01,50,63,0.4,135.0,72,Orthodox,3.43,34,2.47,60,1.05,57,59,0.1,30,14,0,15,13,1,68.0,73.0,41.0,43.0
Chael Sonnen,Michael Bisping,UFC on FOX: Evans vs Davis,fighter1,http://ufcstats.com/fight-details/81c5c897717a1ef6,205.0,73,Southpaw,3.08,43,1.1,62,3.81,59,66,0.4,185.0,75,Orthodox,4.33,38,2.71,65,1.05,43,63,0.3,29,15,1,30,9,0,73.0,73.0,47.0,46.0
Demian Maia,Chris Weidman,UFC on FOX: Evans vs Davis,fighter2,http://ufcstats.com/fight-details/ba75be28158d424c,170.0,72,Southpaw,1.8,43,2.07,63,2.49,24,61,1.0,185.0,78,Orthodox,3.11,45,3.37,51,3.27,42,72,0.8,28,11,0,16,8,0,73.0,74.0,47.0,40.0
Rashad Evans,Phil Davis,UFC on FOX: Evans vs Davis,fighter1,http://ufcstats.com/fight-details/e0df5f84686586a1,205.0,75,Orthodox,2.14,37,2.42,63,2.98,44,73,0.0,205.0,79,Orthodox,2.85,34,1.33,72,2.99,38,72,0.6,19,8,1,17,4,0,72.0,74.0,45.0,40.0
Charlie Brenneman,Daniel Roberts,UFC on FX: Guillard vs Miller,fighter1,http://ufcstats.com/fight-details/be7b9301e7c689c1,155.0,70,Orthodox,1.52,56,1.55,46,4.23,42,72,0.0,170.0,74,Southpaw,0.73,20,2.27,46,2.46,44,40,2.5,19,8,0,15,7,0,70.0,70.0,44.0,44.0
Pat Barry,Christian Morecraft,UFC on FX: Guillard vs Miller,fighter1,http://ufcstats.com/fight-details/fc91f1e448f35797,235.0,74,Orthodox,2.72,52,3.54,59,0.0,0,76,0.2,260.0,81,Orthodox,2.82,34,2.46,46,3.26,66,50,2.2,8,7,0,8,3,0,71.0,78.0,45.0,38.0
Kamal Shalorus,Khabib Nurmagomedov,UFC on FX: Guillard vs Miller,fighter2,http://ufcstats.com/fight-details/8360accf6f70ebc4,155.0,68,Orthodox,3.06,32,2.99,70,2.07,50,80,0.0,155.0,70,Orthodox,4.1,48,1.75,65,5.32,48,84,0.8,9,5,2,29,0,0,68.0,70.0,52.0,36.0
Evan Dunham,Nik Lentz,UFC on FOX: Evans vs Davis,fighter1,http://ufcstats.com/fight-details/e7861d4e2b29193f,155.0,70,Southpaw,5.33,39,3.54,61,1.82,33,79,1.0,145.0,68,Orthodox,3.44,47,3.25,50,3.3,32,43,1.2,18,9,1,30,12,2,70.0,68.0,43.0,40.0
Mike Easton,Jared Papazian,UFC on FX: Guillard vs Miller,fighter1,http://ufcstats.com/fight-details/77c1e127c1be9983,135.0,70,Southpaw,3.51,37,4.28,61,0.75,22,66,0.0,135.0,67,Southpaw,3.33,39,3.81,44,0.0,0,50,0.0,13,6,0,20,13,0,66.0,68.0,41.0,37.0
Melvin Guillard,Jim Miller,UFC on FX: Guillard vs Miller,fighter2,http://ufcstats.com/fight-details/90d50fb7e2bf789e,155.0,71,Orthodox,2.96,40,1.85,66,1.3,63,61,0.2,155.0,71,Southpaw,2.99,42,3.51,56,1.52,44,49,1.7,32,18,2,38,18,0,69.0,68.0,41.0,41.0
Jorge Rivera,Eric Schafer,UFC on FX: Guillard vs Miller,fighter1,http://ufcstats.com/fight-details/0071c5d16e6e07f6,185.0,73,Orthodox,3.16,48,2.64,54,0.84,50,63,0.1,185.0,76,Orthodox,1.89,34,3.38,56,1.81,36,50,1.8,20,9,0,14,8,2,73.0,75.0,53.0,47.0
Duane Ludwig,Josh Neer,UFC on FX: Guillard vs Miller,fighter2,http://ufcstats.com/fight-details/d391ca8154bcf507,170.0,70,Orthodox,4.62,44,3.05,57,0.43,25,59,0.1,170.0,72,Orthodox,3.29,46,3.63,58,1.09,34,46,1.3,21,14,0,36,16,1,70.0,71.0,46.0,42.0
Dong Hyun Kim,Sean Pierson,UFC 141: Lesnar vs Overeem,fighter1,http://ufcstats.com/fight-details/972034fcd94ca83b,170.0,76,Southpaw,2.12,49,1.89,58,2.93,43,71,0.6,170.0,76,Southpaw,3.84,39,3.73,64,0.39,18,66,0.4,22,4,1,14,6,0,74.0,72.0,43.0,49.0
Jacob Volkmann,Efrain Escudero,UFC 141: Lesnar vs Overeem,fighter1,http://ufcstats.com/fight-details/46bea6d63ffe17e4,155.0,71,Southpaw,1.19,34,1.78,52,3.19,48,52,2.0,155.0,71,Orthodox,2.92,44,2.3,63,1.31,40,66,0.8,19,7,0,28,12,0,69.0,69.0,44.0,39.0
Manvel Gamburyan,Diego Nunes,UFC 141: Lesnar vs Overeem,fighter2,http://ufcstats.com/fight-details/2f715933d0626544,135.0,67,Orthodox,2.13,41,2.83,55,3.26,34,69,0.7,145.0,67,Orthodox,2.72,43,2.59,58,1.18,44,65,0.6,15,10,0,19,7,0,65.0,66.0,43.0,42.0
