fighter1,fighter2,event,fight_outcome,origin_fight_url,fighter1_Name,fighter1_Nickname,fighter1_Record,fighter1_Height,fighter1_Weight,fighter1_Reach,fighter1_Stance,fighter1_DOB,fighter1_SLpM,fighter1_StrAcc,fighter1_SApM,fighter1_StrDef,fighter1_TDAvg,fighter1_TDAcc,fighter1_TDDef,fighter1_SubAvg,fighter2_Name,fighter2_Nickname,fighter2_Record,fighter2_Height,fighter2_Weight,fighter2_Reach,fighter2_Stance,fighter2_DOB,fighter2_SLpM,fighter2_StrAcc,fighter2_SApM,fighter2_StrDef,fighter2_TDAvg,fighter2_TDAcc,fighter2_TDDef,fighter2_SubAvg
Jeremy Stephens,Rafael Dos Anjos,UFC 91: Couture vs Lesnar,fighter1,http://ufcstats.com/fight-details/9e99536eae6d709b,Jeremy Stephens,Lil' Heathen,Record: 28-19-0 (1 NC),"5' 9""",145 lbs.,"71""",Orthodox,"May 25, 1986",3.17,40%,3.05,58%,1.16,38%,65%,0.4,Rafael Dos Anjos,,Record: 32-17-0,"5' 8""",170 lbs.,"70""",Southpaw,"Oct 26, 1984",3.48,47%,3.23,60%,1.95,35%,54%,0.6
Aaron Riley,Jorge Gurgel,UFC 91: Couture vs Lesnar,fighter1,http://ufcstats.com/fight-details/958bd435389dd12a,Aaron Riley,,Record: 30-14-1,"5' 8""",155 lbs.,"69""",Southpaw,"Dec 09, 1980",3.45,34%,3.78,61%,1.18,34%,60%,0.1,Jorge Gurgel,,Record: 14-10-0,"5' 7""",155 lbs.,"69""",Orthodox,"Jan 25, 1977",3.37,32%,3.62,62%,0.81,23%,60%,0.5
Demian Maia,Nate Quarry,UFC 91: Couture vs Lesnar,fighter1,http://ufcstats.com/fight-details/bfd846ad4d597bbb,Demian Maia,,Record: 28-11-0,"6' 1""",170 lbs.,"72""",Southpaw,"Nov 06, 1977",1.80,43%,2.07,63%,2.49,24%,61%,1.0,Nate Quarry,Rock,Record: 12-4-0,"6' 0""",185 lbs.,"72""",Open Stance,"Mar 18, 1972",4.96,44%,2.80,66%,0.25,33%,60%,0.0
Dustin Hazelett,Tamdan McCrory,UFC 91: Couture vs Lesnar,fighter1,http://ufcstats.com/fight-details/c739195deef32b45,Dustin Hazelett,McLovin,Record: 12-7-0,"6' 1""",170 lbs.,"76""",Orthodox,"Apr 29, 1986",2.24,40%,3.51,46%,0.55,50%,25%,4.1,Tamdan McCrory,The Barncat,Record: 14-5-0,"6' 4""",185 lbs.,"76""",Switch,"Nov 05, 1986",2.07,49%,1.60,46%,2.28,50%,33%,2.5
Gabriel Gonzaga,Josh Hendricks,UFC 91: Couture vs Lesnar,fighter1,http://ufcstats.com/fight-details/e94d7bfb0c92e30d,Gabriel Gonzaga,Napao,Record: 17-11-0,"6' 2""",242 lbs.,"76""",Orthodox,"May 18, 1979",2.12,45%,2.94,57%,2.80,39%,66%,1.1,Josh Hendricks,,Record: 19-11-0 (1 NC),"6' 2""",235 lbs.,--,Southpaw,"Aug 28, 1976",0.98,20%,11.80,29%,0.00,0%,0%,0.0
Kenny Florian,Joe Stevenson,UFC 91: Couture vs Lesnar,fighter1,http://ufcstats.com/fight-details/821c27f0dbb27e86,Kenny Florian,KenFlo,Record: 14-6-0,"5' 10""",145 lbs.,"74""",Southpaw,"May 26, 1976",2.41,40%,1.85,63%,2.22,33%,60%,1.3,Joe Stevenson,Daddy,Record: 33-16-0,"5' 7""",145 lbs.,"70""",Orthodox,"Jun 15, 1982",2.05,44%,2.44,60%,2.75,44%,39%,2.2
Jim Miller,David Baron,UFC 89: Bisping vs Leben,fighter1,http://ufcstats.com/fight-details/9b8c29f50d452025,Jim Miller,A-10,Record: 38-18-0 (1 NC),"5' 8""",155 lbs.,"71""",Southpaw,"Aug 30, 1983",2.99,42%,3.51,56%,1.52,44%,49%,1.7,David Baron,,Record: 17-4-1,"5' 6""",155 lbs.,--,Switch,"Feb 15, 1973",1.17,30%,2.10,56%,0.00,0%,14%,0.7
Terry Etim,Sam Stout,UFC 89: Bisping vs Leben,fighter1,http://ufcstats.com/fight-details/cd5336ef8b2329f4,Terry Etim,,Record: 16-5-0,"6' 1""",155 lbs.,"73""",Orthodox,"Jan 11, 1986",2.16,35%,2.53,67%,0.43,30%,39%,1.4,Sam Stout,Hands of Stone,Record: 20-12-1,"5' 9""",155 lbs.,"70""",Orthodox,"Apr 23, 1984",4.17,28%,4.08,57%,0.63,38%,77%,0.1
Dan Hardy,Akihiro Gono,UFC 89: Bisping vs Leben,fighter1,http://ufcstats.com/fight-details/0510d12ad43ede89,Dan Hardy,The Outlaw,Record: 25-10-0 (1 NC),"6' 0""",170 lbs.,"74""",Orthodox,"May 17, 1982",2.46,35%,3.44,51%,0.73,35%,35%,0.4,Akihiro Gono,,Record: 35-21-8,"5' 7""",170 lbs.,"68""",Switch,"Oct 07, 1974",2.18,48%,2.67,63%,1.01,84%,46%,0.5
David Bielkheden,Jess Liaudin,UFC 89: Bisping vs Leben,fighter1,http://ufcstats.com/fight-details/194f8d501f318ada,David Bielkheden,,Record: 24-12-0,"5' 10""",155 lbs.,"71""",Orthodox,"Jun 06, 1979",1.11,57%,1.64,54%,2.65,63%,14%,0.0,Jess Liaudin,The Joker,Record: 20-11-0,"5' 9""",170 lbs.,"72""",Orthodox,--,2.46,51%,2.76,41%,3.28,53%,30%,1.6
Brock Lesnar,Randy Couture,UFC 91: Couture vs Lesnar,fighter1,http://ufcstats.com/fight-details/75577b11361cb645,Brock Lesnar,,Record: 5-3-0 (1 NC),"6' 3""",265 lbs.,"81""",Orthodox,"Jul 12, 1977",3.53,72%,2.11,50%,3.90,55%,60%,0.5,Randy Couture,The Natural,Record: 19-11-0,"6' 1""",205 lbs.,"75""",Orthodox,"Jun 22, 1963",2.85,57%,1.53,59%,2.78,46%,58%,0.5
Shane Carwin,Neil Wain,UFC 89: Bisping vs Leben,fighter1,http://ufcstats.com/fight-details/550daf3853d050ba,Shane Carwin,The Engineer,Record: 12-2-0,"6' 2""",265 lbs.,"80""",Orthodox,"Jan 04, 1975",4.38,47%,3.53,53%,1.42,33%,42%,0.0,Neil Wain,Old School,Record: 13-4-0,"5' 10""",242 lbs.,--,Orthodox,--,2.64,50%,8.57,43%,0.00,0%,50%,0.0
Chris Lytle,Paul Taylor,UFC 89: Bisping vs Leben,fighter1,http://ufcstats.com/fight-details/f24db9d7c3636a2a,Chris Lytle,Lights Out,Record: 31-18-5,"5' 11""",170 lbs.,"68""",Orthodox,"Aug 18, 1974",3.76,45%,3.03,58%,0.70,55%,55%,2.4,Paul Taylor,Relentless,Record: 11-6-1 (1 NC),"6' 0""",155 lbs.,"72""",Orthodox,"Dec 15, 1979",4.44,47%,4.47,55%,0.27,25%,56%,0.5
Luiz Cane,Rameau Thierry Sokoudjou,UFC 89: Bisping vs Leben,fighter1,http://ufcstats.com/fight-details/781017bfa44d4058,Luiz Cane,Banha,Record: 17-7-0 (1 NC),"6' 2""",185 lbs.,"77""",Southpaw,"Apr 24, 1981",4.79,41%,5.00,60%,0.56,28%,100%,0.3,Rameau Thierry Sokoudjou,The African Assassin,Record: 18-18-0,"5' 10""",205 lbs.,"78""",Orthodox,"Apr 18, 1984",2.26,45%,2.61,56%,1.93,47%,78%,0.9
Marcus Davis,Paul Kelly,UFC 89: Bisping vs Leben,fighter1,http://ufcstats.com/fight-details/cc9cabc1fc747aaf,Marcus Davis,The Irish Hand Grenade,Record: 22-11-0 (1 NC),"5' 10""",170 lbs.,"70""",Southpaw,"Aug 24, 1973",2.72,39%,2.79,65%,1.60,48%,47%,1.4,Paul Kelly,,Record: 14-5-0,"5' 9""",155 lbs.,"70""",Orthodox,"Sep 12, 1984",3.22,37%,2.61,59%,1.34,60%,30%,1.5
Keith Jardine,Brandon Vera,UFC 89: Bisping vs Leben,fighter1,http://ufcstats.com/fight-details/01d71345ba7ea6f9,Keith Jardine,The Dean of Mean,Record: 17-11-2,"6' 2""",185 lbs.,"76""",Orthodox,"Oct 31, 1975",3.25,36%,2.98,59%,1.18,45%,62%,0.7,Brandon Vera,The Truth,Record: 15-7-0 (1 NC),"6' 3""",230 lbs.,"78""",Orthodox,"Oct 10, 1977",3.03,56%,2.81,52%,0.70,53%,59%,0.2
Jason MacDonald,Jason Lambert,UFC 88: Breakthrough,fighter1,http://ufcstats.com/fight-details/81734d11cb6a8ebb,Jason MacDonald,The Athlete,Record: 25-16-0,"6' 3""",185 lbs.,"80""",Orthodox,"Jun 03, 1975",1.55,52%,2.70,46%,1.43,16%,35%,2.0,Jason Lambert,The Punisher,Record: 26-13-0,"6' 3""",185 lbs.,"75""",Orthodox,"Jun 03, 1975",3.21,58%,1.84,50%,1.35,36%,28%,2.4
Michael Bisping,Chris Leben,UFC 89: Bisping vs Leben,fighter1,http://ufcstats.com/fight-details/1776c84e3d22d7cc,Michael Bisping,The Count,Record: 30-9-0,"6' 1""",185 lbs.,"75""",Orthodox,"Feb 28, 1979",4.33,38%,2.71,65%,1.05,43%,63%,0.3,Chris Leben,The Crippler,Record: 22-11-0,"5' 11""",185 lbs.,"73""",Southpaw,"Jul 21, 1980",2.87,42%,2.87,52%,1.14,41%,53%,0.8
Tim Boetsch,Michael Patt,UFC 88: Breakthrough,fighter1,http://ufcstats.com/fight-details/0568994b8323d640,Tim Boetsch,The Barbarian,Record: 21-13-0,"6' 0""",185 lbs.,"74""",Orthodox,"Jan 28, 1981",2.93,50%,2.90,57%,1.45,34%,59%,0.8,Michael Patt,,Record: 12-4-0,"6' 0""",205 lbs.,--,Orthodox,--,1.65,28%,5.53,55%,0.00,0%,0%,0.0
Dong Hyun Kim,Matt Brown,UFC 88: Breakthrough,fighter1,http://ufcstats.com/fight-details/cafb86764ea92268,Dong Hyun Kim,Stun Gun,Record: 22-4-1 (1 NC),"6' 2""",170 lbs.,"76""",Southpaw,"Nov 17, 1981",2.12,49%,1.89,58%,2.93,43%,71%,0.6,Matt Brown,The Immortal,Record: 26-19-0,"6' 0""",170 lbs.,"75""",Orthodox,"Jan 10, 1981",3.76,55%,2.92,55%,1.68,46%,63%,1.3
Nate Marquardt,Martin Kampmann,UFC 88: Breakthrough,fighter1,http://ufcstats.com/fight-details/b74ecc368d3ecbc4,Nate Marquardt,The Great,Record: 35-19-2,"6' 0""",185 lbs.,"74""",Orthodox,"Apr 20, 1979",2.71,49%,2.32,55%,1.87,51%,70%,0.8,Martin Kampmann,The Hitman,Record: 20-7-0,"6' 0""",170 lbs.,"72""",Orthodox,"Apr 17, 1982",3.22,42%,3.28,62%,1.86,41%,78%,2.0
Kurt Pellegrino,Thiago Tavares,UFC 88: Breakthrough,fighter1,http://ufcstats.com/fight-details/976f7f5e7537c62b,Kurt Pellegrino,Batman,Record: 16-7-0,"5' 8""",155 lbs.,"70""",Orthodox,"May 07, 1979",2.45,43%,1.94,63%,2.90,54%,69%,0.8,Thiago Tavares,,Record: 21-7-1,"5' 7""",145 lbs.,"70""",Orthodox,"Nov 08, 1984",2.00,40%,2.31,62%,3.83,42%,62%,1.5
Dan Henderson,Rousimar Palhares,UFC 88: Breakthrough,fighter1,http://ufcstats.com/fight-details/a34dc525a16ce375,Dan Henderson,Hendo,Record: 32-15-0,"5' 11""",185 lbs.,"74""",Orthodox,"Aug 24, 1970",2.44,47%,2.70,51%,1.52,52%,57%,0.3,Rousimar Palhares,Toquinho,Record: 19-8-0,"5' 8""",170 lbs.,"71""",Orthodox,"Feb 26, 1980",1.75,51%,2.04,59%,3.93,45%,0%,4.1
Rich Franklin,Matt Hamill,UFC 88: Breakthrough,fighter1,http://ufcstats.com/fight-details/c5574b79e31a1b2b,Rich Franklin,Ace,Record: 29-7-0 (1 NC),"6' 1""",185 lbs.,"76""",Southpaw,"Oct 05, 1974",4.10,44%,2.07,62%,1.31,66%,63%,0.7,Matt Hamill,The Hammer,Record: 12-8-0,"6' 1""",205 lbs.,"76""",Orthodox,"Oct 05, 1976",3.69,42%,3.80,61%,3.00,34%,91%,0.0
Jason Brilz,Brad Morris,UFC Fight Night: Diaz vs Neer,fighter1,http://ufcstats.com/fight-details/d23b05f33b741c47,Jason Brilz,Hitman,Record: 22-6-1,"5' 11""",205 lbs.,"71""",Orthodox,"Jul 07, 1975",2.66,40%,1.78,65%,2.37,25%,25%,1.3,Brad Morris,,Record: 10-6-0,"6' 2""",205 lbs.,--,Orthodox,"Nov 01, 1979",0.50,62%,6.95,27%,0.00,0%,0%,0.0
Joe Lauzon,Kyle Bradley,UFC Fight Night: Diaz vs Neer,fighter1,http://ufcstats.com/fight-details/f6ea148cfeb1aaf7,Joe Lauzon,,Record: 28-16-0,"5' 10""",155 lbs.,"71""",Orthodox,"May 22, 1984",2.84,39%,5.39,54%,2.39,45%,54%,2.0,Kyle Bradley,,Record: 19-12-0 (1 NC),"5' 9""",155 lbs.,"71""",Orthodox,"Aug 19, 1982",1.99,40%,3.45,58%,0.65,50%,40%,0.0
Wilson Gouveia,Ryan Jensen,UFC Fight Night: Diaz vs Neer,fighter1,http://ufcstats.com/fight-details/43e8fcd8e4d015fb,Wilson Gouveia,,Record: 14-8-0,"6' 1""",185 lbs.,"76""",Orthodox,"Oct 03, 1978",3.02,39%,4.06,56%,0.90,66%,57%,2.2,Ryan Jensen,,Record: 21-8-0,"6' 1""",185 lbs.,"76""",Orthodox,"Sep 20, 1977",2.84,39%,2.99,59%,1.55,50%,31%,1.9
Eric Schafer,Houston Alexander,UFC Fight Night: Diaz vs Neer,fighter1,http://ufcstats.com/fight-details/505d3d9b006014c8,Eric Schafer,Red,Record: 14-8-2,"6' 3""",185 lbs.,"76""",Orthodox,"Sep 20, 1977",1.89,34%,3.38,56%,1.81,36%,50%,1.8,Houston Alexander,The Assassin,Record: 17-15-1 (2 NC),"6' 0""",205 lbs.,"72""",Orthodox,"Mar 22, 1972",3.06,54%,3.20,52%,1.19,57%,33%,0.0
Clay Guida,Mac Danzig,UFC Fight Night: Diaz vs Neer,fighter1,http://ufcstats.com/fight-details/d460961065f1198b,Clay Guida,The Carpenter,Record: 38-22-0,"5' 7""",155 lbs.,"70""",Orthodox,"Dec 08, 1981",2.63,33%,3.00,61%,3.10,35%,66%,0.6,Mac Danzig,,Record: 21-12-1,"5' 8""",155 lbs.,"70""",Orthodox,"Jan 02, 1980",3.39,48%,3.44,57%,1.20,37%,46%,0.6
Alan Belcher,Ed Herman,UFC Fight Night: Diaz vs Neer,fighter1,http://ufcstats.com/fight-details/3818a33c9103c88f,Alan Belcher,The Talent,Record: 18-8-0,"6' 2""",185 lbs.,"75""",Orthodox,"Apr 24, 1984",2.70,41%,3.10,59%,0.44,26%,55%,0.9,Ed Herman,Short Fuse,Record: 27-16-0 (1 NC),"6' 1""",205 lbs.,"77""",Orthodox,"Oct 02, 1980",3.31,48%,3.71,42%,1.96,47%,59%,1.0
Rashad Evans,Chuck Liddell,UFC 88: Breakthrough,fighter1,http://ufcstats.com/fight-details/3e126f482e9a84b8,Rashad Evans,Suga,Record: 19-8-1,"6' 0""",205 lbs.,"75""",Orthodox,"Sep 25, 1979",2.14,37%,2.42,63%,2.98,44%,73%,0.0,Chuck Liddell,The Iceman,Record: 21-8-0,"6' 2""",205 lbs.,"76""",Orthodox,"Dec 17, 1969",2.97,35%,2.71,56%,0.44,75%,81%,0.0
Alessio Sakara,Joe Vedepo,UFC Fight Night: Diaz vs Neer,fighter1,http://ufcstats.com/fight-details/830bf05d0ee635a1,Alessio Sakara,Legionarius,Record: 19-11-0 (2 NC),"6' 0""",185 lbs.,"72""",Orthodox,"Sep 02, 1981",3.96,47%,2.80,59%,2.18,78%,62%,0.0,Joe Vedepo,The Doctor,Record: 18-9-0,"6' 0""",185 lbs.,--,Orthodox,--,1.43,42%,5.71,38%,1.07,20%,0%,0.0
Shannon Gugerty,Dale Hartt,UFC: Silva vs Irvin,fighter1,http://ufcstats.com/fight-details/8d26509990b6e518,Shannon Gugerty,,Record: 15-7-0,"5' 10""",155 lbs.,"71""",Orthodox,"Dec 30, 1981",1.25,39%,1.88,58%,2.13,27%,50%,3.4,Dale Hartt,,Record: 6-3-0,"5' 10""",155 lbs.,"69""",Orthodox,"Apr 04, 1979",1.14,35%,1.55,66%,1.22,100%,25%,2.5
Rory Markham,Brodie Farber,UFC: Silva vs Irvin,fighter1,http://ufcstats.com/fight-details/82f2afc6d7db44f3,Rory Markham,,Record: 17-6-0,"6' 0""",170 lbs.,"71""",Orthodox,"Mar 25, 1982",1.98,21%,10.27,45%,0.00,0%,0%,0.0,Brodie Farber,,Record: 16-7-0,"6' 1""",170 lbs.,--,Orthodox,"Jul 05, 1980",1.69,45%,2.17,53%,0.90,50%,20%,0.9
Nate Loughran,Johnny Rees,UFC: Silva vs Irvin,fighter1,http://ufcstats.com/fight-details/f8b6468621db85ca,Nate Loughran,,Record: 11-2-0,"6' 2""",185 lbs.,--,Orthodox,"Jul 28, 1980",1.81,40%,4.11,59%,0.00,0%,0%,2.1,Johnny Rees,The Hater Hurter,Record: 13-5-0 (1 NC),"6' 0""",170 lbs.,--,Orthodox,"Oct 21, 1982",3.29,64%,0.84,47%,1.15,25%,50%,0.0
Nate Diaz,Josh Neer,UFC Fight Night: Diaz vs Neer,fighter1,http://ufcstats.com/fight-details/9fc232c3829a1ef0,Nate Diaz,,Record: 22-13-0,"6' 0""",170 lbs.,"76""",Southpaw,"Apr 16, 1985",4.57,45%,3.77,52%,1.05,30%,41%,1.3,Josh Neer,The Dentist,Record: 36-16-1,"5' 11""",170 lbs.,"72""",Orthodox,"Mar 24, 1983",3.29,46%,3.63,58%,1.09,34%,46%,1.3
Cain Velasquez,Jake O'Brien,UFC: Silva vs Irvin,fighter1,http://ufcstats.com/fight-details/333c9e6f3cc8f91e,Cain Velasquez,,Record: 14-3-0,"6' 1""",240 lbs.,"77""",Orthodox,"Jul 28, 1982",6.37,57%,2.33,57%,5.13,45%,85%,0.4,Jake O'Brien,Irish,Record: 15-4-0,"6' 3""",205 lbs.,"76""",Orthodox,"Sep 25, 1984",1.31,31%,1.92,69%,6.39,54%,25%,0.2
Brad Blackburn,James Giboo,UFC: Silva vs Irvin,fighter1,http://ufcstats.com/fight-details/62f487635d7a9bb0,Brad Blackburn,Bad Brad,Record: 18-13-1 (1 NC),"5' 10""",170 lbs.,"73""",Orthodox,"May 25, 1977",4.55,35%,3.59,65%,0.93,50%,76%,0.7,James Giboo,,Record: 13-5-0,"5' 11""",170 lbs.,--,Orthodox,"Jan 06, 1978",1.20,27%,7.08,39%,0.00,0%,0%,0.0
Tim Credeur,Cale Yarbrough,UFC: Silva vs Irvin,fighter1,http://ufcstats.com/fight-details/b9b8509c568dc144,Tim Credeur,,Record: 12-4-0,"6' 3""",185 lbs.,"75""",Orthodox,"Jul 09, 1977",3.59,30%,3.13,57%,0.41,100%,50%,3.3,Cale Yarbrough,,Record: 8-3-0,"6' 1""",185 lbs.,--,Orthodox,"Dec 27, 1986",3.16,27%,10.00,72%,0.00,0%,0%,0.0
Anderson Silva,James Irvin,UFC: Silva vs Irvin,fighter1,http://ufcstats.com/fight-details/4eafb2657c3781f5,Anderson Silva,The Spider,Record: 34-11-0 (1 NC),"6' 2""",185 lbs.,"77""",Southpaw,"Apr 14, 1975",3.05,61%,2.05,60%,0.50,77%,69%,0.8,James Irvin,The Sandman,Record: 17-10-0 (2 NC),"6' 2""",205 lbs.,"75""",Orthodox,"Sep 12, 1978",2.03,48%,3.86,35%,0.00,0%,36%,0.5
Frankie Edgar,Hermes Franca,UFC: Silva vs Irvin,fighter1,http://ufcstats.com/fight-details/9f14f080b08e6869,Frankie Edgar,The Answer,Record: 23-11-1,"5' 6""",135 lbs.,"68""",Orthodox,"Oct 16, 1981",3.77,40%,2.82,65%,2.29,31%,65%,0.3,Hermes Franca,,Record: 24-17-0 (1 NC),"5' 6""",155 lbs.,"71""",Orthodox,"Aug 26, 1974",1.78,39%,2.85,55%,1.53,36%,37%,2.4
Kevin Burns,Anthony Johnson,UFC: Silva vs Irvin,fighter1,http://ufcstats.com/fight-details/51ae1d8a663ae1fe,Kevin Burns,The Fire,Record: 12-7-0,"5' 10""",170 lbs.,"74""",Orthodox,"Mar 03, 1980",2.74,38%,4.30,52%,0.28,50%,47%,0.8,Anthony Johnson,Rumble,Record: 22-6-0,"6' 2""",205 lbs.,"78""",Orthodox,"Mar 06, 1984",3.25,47%,1.83,60%,2.43,57%,77%,0.6
Tamdan McCrory,Luke Cummo,UFC 87: Seek And Destroy,fighter1,http://ufcstats.com/fight-details/e2a61ec3bc83da98,Tamdan McCrory,The Barncat,Record: 14-5-0,"6' 4""",185 lbs.,"76""",Switch,"Nov 05, 1986",2.07,49%,1.60,46%,2.28,50%,33%,2.5,Luke Cummo,,Record: 6-6-0,"6' 0""",170 lbs.,"74""",Orthodox,"Apr 27, 1980",1.74,43%,1.50,59%,0.89,55%,42%,1.4
Kenny Florian,Roger Huerta,UFC 87: Seek And Destroy,fighter1,http://ufcstats.com/fight-details/c2fd7ee22721846c,Kenny Florian,KenFlo,Record: 14-6-0,"5' 10""",145 lbs.,"74""",Southpaw,"May 26, 1976",2.41,40%,1.85,63%,2.22,33%,60%,1.3,Roger Huerta,El Matador,Record: 23-9-1 (1 NC),"5' 9""",155 lbs.,"70""",Orthodox,"May 20, 1983",3.64,36%,2.33,56%,2.13,46%,52%,0.5
CB Dollaway,Jesse Taylor,UFC: Silva vs Irvin,fighter1,http://ufcstats.com/fight-details/403bed9fe983b10a,CB Dollaway,The Doberman,Record: 17-9-0,"6' 2""",185 lbs.,"76""",Orthodox,"Aug 10, 1983",2.65,47%,2.58,54%,3.55,54%,62%,1.2,Jesse Taylor,JT Money,Record: 31-15-0,"6' 0""",170 lbs.,"73""",Orthodox,"Jan 02, 1983",1.94,65%,0.55,38%,7.28,50%,100%,3.1
Brandon Vera,Reese Andy,UFC: Silva vs Irvin,fighter1,http://ufcstats.com/fight-details/512f2d10f92d0d36,Brandon Vera,The Truth,Record: 15-7-0 (1 NC),"6' 3""",230 lbs.,"78""",Orthodox,"Oct 10, 1977",3.03,56%,2.81,52%,0.70,53%,59%,0.2,Reese Andy,Riptide,Record: 7-3-0,"6' 0""",205 lbs.,--,Orthodox,"Mar 31, 1973",2.87,50%,3.50,58%,0.67,20%,40%,0.0
Melvin Guillard,Dennis Siver,UFC 86: Jackson vs Griffin,fighter1,http://ufcstats.com/fight-details/13858ffdaaef5671,Melvin Guillard,The Young Assassin,Record: 32-18-2 (3 NC),"5' 9""",155 lbs.,"71""",Orthodox,"Mar 30, 1983",2.96,40%,1.85,66%,1.30,63%,61%,0.2,Dennis Siver,,Record: 23-11-0 (1 NC),"5' 6""",145 lbs.,"70""",Orthodox,"Jan 13, 1979",3.87,32%,2.67,65%,0.87,32%,65%,0.3
Brock Lesnar,Heath Herring,UFC 87: Seek And Destroy,fighter1,http://ufcstats.com/fight-details/b2013a8b4ed68c8d,Brock Lesnar,,Record: 5-3-0 (1 NC),"6' 3""",265 lbs.,"81""",Orthodox,"Jul 12, 1977",3.53,72%,2.11,50%,3.90,55%,60%,0.5,Heath Herring,The Texas Crazy Horse,Record: 28-16-0 (1 NC),"6' 4""",250 lbs.,"78""",Orthodox,"Mar 02, 1978",2.37,50%,1.77,54%,1.22,50%,32%,0.7
Demian Maia,Jason MacDonald,UFC 87: Seek And Destroy,fighter1,http://ufcstats.com/fight-details/31362d9ea15127b2,Demian Maia,,Record: 28-11-0,"6' 1""",170 lbs.,"72""",Southpaw,"Nov 06, 1977",1.80,43%,2.07,63%,2.49,24%,61%,1.0,Jason MacDonald,The Athlete,Record: 25-16-0,"6' 3""",185 lbs.,"80""",Orthodox,"Jun 03, 1975",1.55,52%,2.70,46%,1.43,16%,35%,2.0
Georges St-Pierre,Jon Fitch,UFC 87: Seek And Destroy,fighter1,http://ufcstats.com/fight-details/a23b4817f0b773c8,Georges St-Pierre,Rush,Record: 26-2-0,"5' 11""",185 lbs.,"76""",Orthodox,"May 19, 1981",3.78,53%,1.40,72%,4.16,74%,83%,1.1,Jon Fitch,,Record: 30-7-1 (1 NC),"6' 0""",170 lbs.,"74""",Orthodox,"Feb 24, 1978",2.61,50%,1.65,54%,3.60,51%,56%,0.8
Rob Emerson,Manvel Gamburyan,UFC 87: Seek And Destroy,fighter1,http://ufcstats.com/fight-details/e915c1987050eac8,Rob Emerson,The Saint,Record: 18-12-0 (1 NC),"5' 9""",155 lbs.,"70""",Orthodox,"Jul 30, 1981",2.50,30%,2.83,64%,2.02,52%,65%,0.4,Manvel Gamburyan,The Anvil,Record: 15-10-0 (1 NC),"5' 5""",135 lbs.,"67""",Orthodox,"May 08, 1981",2.13,41%,2.83,55%,3.26,34%,69%,0.7
Gabriel Gonzaga,Justin McCully,UFC 86: Jackson vs Griffin,fighter1,http://ufcstats.com/fight-details/bbe3d2a2ad8d204e,Gabriel Gonzaga,Napao,Record: 17-11-0,"6' 2""",242 lbs.,"76""",Orthodox,"May 18, 1979",2.12,45%,2.94,57%,2.80,39%,66%,1.1,Justin McCully,The Insane One,Record: 11-5-2,"6' 1""",225 lbs.,"73""",Orthodox,"Feb 18, 1976",1.58,37%,2.02,46%,1.28,44%,43%,0.0
Tyson Griffin,Marcus Aurelio,UFC 86: Jackson vs Griffin,fighter1,http://ufcstats.com/fight-details/61f0ceb980c1ae81,Tyson Griffin,,Record: 16-8-0,"5' 6""",145 lbs.,"68""",Orthodox,"Apr 20, 1984",3.71,41%,2.30,65%,1.87,46%,59%,0.9,Marcus Aurelio,Maximus,Record: 22-10-0,"5' 10""",155 lbs.,"74""",Orthodox,"Aug 18, 1973",1.42,33%,2.27,59%,1.69,27%,27%,1.3
Cole Miller,Jorge Gurgel,UFC 86: Jackson vs Griffin,fighter1,http://ufcstats.com/fight-details/66f0238fac31130f,Cole Miller,Magrinho,Record: 21-11-0 (1 NC),"6' 1""",145 lbs.,"73""",Orthodox,"Apr 26, 1984",3.00,33%,3.88,59%,0.60,36%,38%,1.8,Jorge Gurgel,,Record: 14-10-0,"5' 7""",155 lbs.,"69""",Orthodox,"Jan 25, 1977",3.37,32%,3.62,62%,0.81,23%,60%,0.5
Joe Stevenson,Gleison Tibau,UFC 86: Jackson vs Griffin,fighter1,http://ufcstats.com/fight-details/51b0cc51799e7d5d,Joe Stevenson,Daddy,Record: 33-16-0,"5' 7""",145 lbs.,"70""",Orthodox,"Jun 15, 1982",2.05,44%,2.44,60%,2.75,44%,39%,2.2,Gleison Tibau,,Record: 33-14-0,"5' 10""",155 lbs.,"71""",Southpaw,"Oct 07, 1983",1.95,31%,2.51,63%,4.08,53%,92%,0.8
Josh Koscheck,Chris Lytle,UFC 86: Jackson vs Griffin,fighter1,http://ufcstats.com/fight-details/ac82d28aaa5faaf0,Josh Koscheck,,Record: 17-11-0,"5' 10""",170 lbs.,"73""",Orthodox,"Nov 30, 1977",1.79,36%,2.27,63%,2.46,48%,64%,0.4,Chris Lytle,Lights Out,Record: 31-18-5,"5' 11""",170 lbs.,"68""",Orthodox,"Aug 18, 1974",3.76,45%,3.03,58%,0.70,55%,55%,2.4
Forrest Griffin,Quinton Jackson,UFC 86: Jackson vs Griffin,fighter1,http://ufcstats.com/fight-details/ae674ec42bd0a979,Forrest Griffin,,Record: 19-7-0,"6' 3""",205 lbs.,"77""",Orthodox,"Mar 16, 1979",4.38,36%,2.81,61%,1.05,48%,57%,0.7,Quinton Jackson,Rampage,Record: 37-12-0,"6' 1""",205 lbs.,"73""",Orthodox,"Jun 20, 1978",3.25,54%,2.51,55%,1.52,56%,73%,0.1
