fighter1,fighter2,event,fight_outcome,origin_fight_url,fighter1_Name,fighter1_Nickname,fighter1_Record,fighter1_Height,fighter1_Weight,fighter1_Reach,fighter1_Stance,fighter1_DOB,fighter1_SLpM,fighter1_StrAcc,fighter1_SApM,fighter1_StrDef,fighter1_TDAvg,fighter1_TDAcc,fighter1_TDDef,fighter1_SubAvg,fighter2_Name,fighter2_Nickname,fighter2_Record,fighter2_Height,fighter2_Weight,fighter2_Reach,fighter2_Stance,fighter2_DOB,fighter2_SLpM,fighter2_StrAcc,fighter2_SApM,fighter2_StrDef,fighter2_TDAvg,fighter2_TDAcc,fighter2_TDDef,fighter2_SubAvg
Orion Cosce,Blood Diamond,UFC 277: Pena vs. Nunes 2,fighter1,http://ufcstats.com/fight-details/66f7bb31d24b3b36,Orion Cosce,Galaxy,Record: 8-2-0,"5' 11""",170 lbs.,"71""",Switch,"Jul 15, 1994",2.77,53%,4.02,44%,1.92,40%,61%,0.0,Blood Diamond,,Record: 3-3-0,"5' 11""",170 lbs.,"76""",Switch,"Jul 10, 1988",3.12,55%,2.17,48%,0.00,0%,73%,0.0
Youssef Zalal,Da'Mon Blackshear,UFC Fight Night: Vera vs. Cruz,,http://ufcstats.com/fight-details/e05a18b6ce22fa1f,Youssef Zalal,The Moroccan Devil,Record: 17-5-1,"5' 10""",145 lbs.,"72""",Switch,"Sep 04, 1996",3.07,50%,1.80,66%,2.09,30%,59%,1.3,Da'Mon Blackshear,The Monster,Record: 15-7-1,"5' 10""",135 lbs.,"72""",Switch,"Aug 12, 1994",4.30,47%,4.06,49%,2.17,37%,68%,1.4
Joselyne Edwards,Ji Yeon Kim,UFC 277: Pena vs. Nunes 2,fighter1,http://ufcstats.com/fight-details/0366e183296fea07,Joselyne Edwards,La Pantera,Record: 14-6-0,"5' 8""",135 lbs.,"70""",Orthodox,"Sep 29, 1995",4.48,52%,3.19,49%,1.23,39%,61%,0.6,Ji Yeon Kim,Firefist,Record: 9-7-2,"5' 7""",125 lbs.,"72""",Orthodox,"Oct 18, 1989",5.37,36%,5.41,56%,0.00,0%,50%,0.1
Stephanie Egger,Ailin Perez,UFC Fight Night: Gane vs. Tuivasa,fighter1,http://ufcstats.com/fight-details/ce62a50e97d497f9,Stephanie Egger,,Record: 8-5-0,"5' 6""",135 lbs.,"68""",Orthodox,"Aug 12, 1988",2.20,46%,2.48,52%,2.48,42%,50%,0.6,Ailin Perez,Fiona,Record: 12-2-0,"5' 5""",135 lbs.,"66""",Switch,"Oct 05, 1994",3.10,54%,1.79,55%,4.68,46%,66%,0.2
Nikolas Motta,Cameron VanCamp,UFC Fight Night: Sandhagen vs. Song,fighter1,http://ufcstats.com/fight-details/8a044e5400b4318f,Nikolas Motta,Iron,Record: 15-5-0 (1 NC),"5' 9""",155 lbs.,"70""",Orthodox,"Feb 08, 1993",3.64,37%,4.50,56%,0.00,0%,82%,0.0,Cameron VanCamp,Jumpman,Record: 15-7-1 (1 NC),"6' 2""",155 lbs.,"74""",Switch,"Apr 27, 1993",5.31,47%,6.41,40%,0.00,0%,0%,0.0
Khalid Taha,Cristian Quinonez,UFC Fight Night: Gane vs. Tuivasa,fighter2,http://ufcstats.com/fight-details/ca7fd237c16cec84,Khalid Taha,The Warrior,Record: 13-5-0 (1 NC),"5' 5""",135 lbs.,"69""",Orthodox,"Feb 15, 1992",2.64,32%,4.12,46%,0.00,0%,61%,0.2,Cristian Quinonez,Problema,Record: 18-5-0,"5' 8""",135 lbs.,"70""",Orthodox,"Apr 26, 1996",4.19,40%,4.55,55%,1.37,37%,84%,0.0
Tony Gravely,Javid Basharat,UFC Fight Night: Sandhagen vs. Song,fighter2,http://ufcstats.com/fight-details/be73f75b52b06f14,Tony Gravely,,Record: 23-9-0,"5' 5""",135 lbs.,"69""",Orthodox,"Sep 28, 1991",3.82,48%,4.47,44%,5.40,41%,52%,0.3,Javid Basharat,The Snow Leopard,Record: 14-2-0 (1 NC),"5' 9""",135 lbs.,"69""",Orthodox,"Sep 07, 1995",5.41,53%,2.96,61%,1.62,40%,83%,0.2
Mariya Agapova,Gillian Robertson,UFC Fight Night: Sandhagen vs. Song,fighter2,http://ufcstats.com/fight-details/d9f5d05b07bae09e,Mariya Agapova,Money Mashka,Record: 10-5-0,"5' 6""",125 lbs.,"68""",Southpaw,"Apr 07, 1997",4.43,54%,3.62,52%,0.55,66%,45%,0.8,Gillian Robertson,The Savage,Record: 15-8-0,"5' 5""",115 lbs.,"63""",Orthodox,"May 17, 1995",2.89,48%,2.95,56%,2.68,39%,41%,1.0
Anthony Hernandez,Marc-Andre Barriault,UFC Fight Night: Sandhagen vs. Song,fighter1,http://ufcstats.com/fight-details/ce5ebaf8caf8c4a7,Anthony Hernandez,Fluffy,Record: 14-2-0 (1 NC),"6' 0""",185 lbs.,"75""",Orthodox,"Oct 18, 1993",4.50,63%,2.61,46%,6.27,45%,66%,1.9,Marc-Andre Barriault,Powerbar,Record: 16-9-0 (1 NC),"6' 1""",185 lbs.,"74""",Orthodox,"Feb 18, 1990",5.98,47%,5.58,52%,0.21,25%,67%,0.1
Trey Ogden,Daniel Zellhuber,UFC Fight Night: Sandhagen vs. Song,fighter1,http://ufcstats.com/fight-details/35d06627d91b840d,Trey Ogden,Shamurai,Record: 18-7-0 (1 NC),"5' 11""",155 lbs.,"72""",Orthodox,"Nov 14, 1989",3.20,50%,3.49,55%,1.89,32%,100%,0.7,Daniel Zellhuber,Golden Boy,Record: 15-2-0,"6' 1""",155 lbs.,"77""",Switch,"Jul 07, 1999",6.26,40%,6.02,55%,0.18,25%,94%,0.2
